Title,Director,Country,Year,Decade,Duration,Description,Total Hours,Url,titleYear_x,newTitleYear,tconst,averageRating,numVotes,primaryTitle,originalTitle,startYear,titleYear_y,isDuplicated
Memories of Underdevelopment,Tomás Gutiérrez Alea,Cuba,1968,1960s,1:39,"This film by Tomás Gutiérrez Alea is the most renowned work in the history of Cuban cinema. After his wife and family flee in the wake of the Bay of Pigs invasion, the bourgeois intellectual Sergio (Sergio Corrieri) passes his days wandering Havana in idle reflection, his amorous entanglements and political ambivalence gradually giving way to a mounting sense of alienation. With this adaptation of an innovative novel by Edmundo Desnoes, Gutiérrez Alea developed a cinematic style as radical as the times he was chronicling, creating a collage of vivid impressions through the use of experimental editing techniques, archival material, and spontaneously shot street scenes. Intimate and densely layered, MEMORIES OF UNDERDEVELOPMENT provides an indictment of its protagonist’s disengagement and an extraordinary glimpse of life in postrevolutionary Cuba.",1.65,https://www.criterionchannel.com/memories-of-underdevelopment,Memories of Underdevelopment 1968,Memories of Underdevelopment 1968,tt0063291,7.7,3789,Memories of Underdevelopment,Memorias del subdesarrollo,1968,Memories of Underdevelopment 1968,False
"Memory for Max, Claire, Ida and Company",Allan King,Canada,2005,2000s,1:52,"Allan King brings us in close to the people who reside and work in a home for geriatric care in this beautifully conceived, powerful documentary. For four months, King follows the daily routines of eight patients suffering from dementia and memory loss; the result is searing, compassionate drama that can bring to the viewer a greater understanding of his or her loved ones.",1.87,https://www.criterionchannel.com/memory-for-max-claire-ida-and-company,"Memory for Max, Claire, Ida and Company 2005","Memory for Max, Claire, Ida and Company 2005",tt0478000,7.5,157,"Memory for Max, Claire, Ida and Company","Memory for Max, Claire, Ida and Company",2005,"Memory for Max, Claire, Ida and Company 2005",False
Men Are Not Gods,Walter Reisch,United Kingdom,1936,1930s,1:22,"When the secretary of a theater critic is convinced to rewrite a scathing review of a new production of Othello, she soon becomes enamored of the play's star... much to the chagrin of his wife, who is playing Desdemona!",1.37,https://www.criterionchannel.com/men-are-not-gods,Men Are Not Gods 1936,Men Are Not Gods 1936,tt0027954,6.0,271,Men Are Not Gods,Men Are Not Gods,1936,Men Are Not Gods 1936,False
The Merchant of Four Seasons,Rainer Werner Fassbinder,Germany,1971,1970s,1:28,"New German Cinema icon Rainer Werner Fassbinder kicked off a new phase of his young career when he made the startling THE MERCHANT OF FOUR SEASONS. In this anguished yet mordantly funny film, Fassbinder charts the decline of a self-destructive former policeman and war veteran struggling to make ends meet for his family by working as a fruit vendor. Fassbinder had gained acclaim for a series of trenchant, quickly made early films, but for this one he took more time and forged a new style—featuring a more complexly woven script and narrative structure and more sophisticated use of the camera, and influenced by the work of his recently discovered idol, Douglas Sirk. The result is a meticulously made, unforgiving social satire.",1.47,https://www.criterionchannel.com/the-merchant-of-four-seasons,The Merchant of Four Seasons 1971,The Merchant of Four Seasons 1972,tt0067227,7.4,4321,The Merchant of Four Seasons,Händler der vier Jahreszeiten,1972,The Merchant of Four Seasons 1972,False
Merry Christmas Mr. Lawrence,Nagisa Oshima,United Kingdom,1983,1980s,2:03,"In this captivating, skewed World War II drama from Nagisa Oshima, David Bowie regally embodies Celliers, a British officer interned by the Japanese as a POW. Rock star Ryuichi Sakamoto (who also composed this film’s hypnotic score) plays the camp commander, obsessed with the mysterious blond major, while Tom Conti is the British lieutenant colonel Lawrence, who tries to bridge the emotional and language divides between captor and prisoner. Also featuring actor-director Takeshi Kitano in his first dramatic role, MERRY CHRISTMAS MR. LAWRENCE is a multilayered, brutal, at times erotic tale of culture clash, and one of Oshima’s greatest successes.",2.05,https://www.criterionchannel.com/merry-christmas-mr-lawrence,Merry Christmas Mr. Lawrence 1983,Merry Christmas Mr. Lawrence 1983,tt0085933,7.3,15730,Merry Christmas Mr. Lawrence,Merry Christmas Mr. Lawrence,1983,Merry Christmas Mr. Lawrence 1983,False
Metropolitan,Whit Stillman,United States,1990,1990s,1:38,"One of the great American independent films of the 1990s, the surprise hit METROPOLITAN, by writer-director Whit Stillman, is a sparkling comedic chronicle of a young man’s romantic misadventures while trying to fit in to New York City’s debutante society. Stillman’s deft, literate dialogue and hilariously highbrow observations earned this first film an Academy Award nomination for best original screenplay. Beneath the wit and sophistication, though, lies a tender tale of adolescent anxiety.",1.63,https://www.criterionchannel.com/metropolitan,Metropolitan 1990,Metropolitan 1990,tt0100142,7.4,9971,Metropolitan,Metropolitan,1990,Metropolitan 1990,False
Miao Miao,Cheng Hsiao-Tse,Taiwan,2008,2000s,1:24,An introverted high school student struggles to adjust to her new life in Taipei before meeting an outgoing classmate and a brooding music shop owner.,1.4,https://www.criterionchannel.com/miao-miao,Miao Miao 2008,Miao Miao 2008,tt0984130,5.8,1018,Miao Miao,Miao Miao,2008,Miao Miao 2008,False
The Mikado,Victor Schertzinger,United Kingdom,1939,1930s,1:31,"The legendary Gilbert and Sullivan troupe the D’Oyly Carte Opera Company joined forces with Hollywood for this 1939 Technicolor version of the beloved comic opera “The Mikado,” the first work by the famed duo to be adapted for the screen. Directed by musician and Oscar-nominated filmmaker Victor Schertzinger, it is a lavish cinematic retelling of the British political satire set in exotic Japan, with such enduringly popular numbers as “A Wand’ring Minstrel I” and “Three Little Maids from School,” and featuring American singer Kenny Baker as well as a host of renowned D’Oyly Carte performers, including Martyn Green and Sydney Granville.",1.52,https://www.criterionchannel.com/the-mikado,The Mikado 1939,The Mikado 1939,tt0031650,6.4,663,The Mikado,The Mikado,1939,The Mikado 1939,False
Mikey and Nicky,Elaine May,United States,1976,1970s,1:46,"Elaine May crafted a gangster film like no other in the nocturnal odyssey MIKEY AND NICKY, capitalizing on the chemistry between frequent collaborators John Cassavetes and Peter Falk by casting them together as small-time mobsters whose lifelong relationship has turned sour. Set over the course of one night, this restless drama finds Nicky (Cassavetes) holed up in a hotel after the boss he stole money from puts a hit out on him. Terrified, he calls on Mikey (Falk), the one person he thinks can save him. Scripted to match the live-wire energy of its stars—alongside supporting players Ned Beatty, Joyce Van Patten, and Carol Grace—and inspired by real-life characters from May’s own childhood, this unbridled portrait of male friendship turned tragic is an unsung masterpiece of American cinema.",1.77,https://www.criterionchannel.com/mikey-and-nicky,Mikey and Nicky 1976,Mikey and Nicky 1976,tt0074901,7.4,4043,Mikey and Nicky,Mikey and Nicky,1976,Mikey and Nicky 1976,False
Milky Way,Leo McCarey,United States,1936,1930s,1:28,"Through forces out of his control, a lowly milkman becomes a middleweight boxing champion.",1.47,https://www.criterionchannel.com/milky-way,Milky Way 1936,The Milky Way 1936,tt0027969,6.6,1527,The Milky Way,The Milky Way,1936,The Milky Way 1936,False
Le million,René Clair,France,1931,1930s,1:21,"An impoverished artist discovers he has purchased a winning lottery ticket at the very moment his creditors come to collect. The only problem is, the ticket is in the pocket of his coat. . . which he left at his girlfriend’s apartment. . . who gave the coat to a man hiding from the police. . . who sells the coat to an opera singer who uses it during a performance. By turns charming and inventive, René Clair’s lyrical masterpiece had a profound impact on not only the Marx Brothers and Charlie Chaplin, but on the American musical as a whole.",1.35,https://www.criterionchannel.com/le-million,Le million 1931,Le Million 1931,tt0022150,7.4,3213,Le Million,Le million,1931,Le Million 1931,False
Ministry of Fear,Fritz Lang,United States,1944,1940s,1:27,"Suffused with dread and paranoia, this Fritz Lang adaptation of a novel by Graham Greene is a plunge into the eerie shadows of a world turned upside down by war. En route to London after being released from a mental institution, Stephen Neale (Ray Milland) stops at a seemingly innocent village fair, after which he finds himself caught in the web of a sinister underworld with possible Nazi connections. Lang was among the most illustrious of the European émigré filmmakers working in Hollywood during World War II, and MINISTRY OF FEAR is one of his finest American productions, an unpredictable thriller with style to spare.",1.45,https://www.criterionchannel.com/ministry-of-fear,Ministry of Fear 1944,Ministry of Fear 1944,tt0037075,7.2,7021,Ministry of Fear,Ministry of Fear,1944,Ministry of Fear 1944,False
The Miracle of Morgan's Creek,Preston Sturges,United States,1944,1940s,1:38,"Preston Sturges’s uproarious screwball riot pushed the Production Code to its limit with its taboo-testing treatment of sex, marriage, and small-town morals. After a wild night out on the town, GI-loving good-time girl Trudy Kockenlocker (Betty Hutton) finds herself married, pregnant, and with no idea who the father is. Enter the hapless Norval Jones (Eddie Bracken), a local 4-F boy with a yen for Trudy, who may be her ticket out of this jam . . . Packed with outrageous one-liners, double entendres, and wild slapstick gags, THE MIRACLE OF MORGAN’S CREEK finds Sturges at his most audaciously irreverent, leaving no sacred cow—from motherhood to religion—unskewered.",1.63,https://www.criterionchannel.com/miracle-of-morgan-s-creek,The Miracle of Morgan's Creek 1944,The Miracle of Morgan's Creek 1943,tt0037077,7.6,6814,The Miracle of Morgan's Creek,The Miracle of Morgan's Creek,1943,The Miracle of Morgan's Creek 1943,False
Miracles of Thursday,Luis García Berlanga,Spain,1957,1950s,1:27,"In the village of Fuentecilla, there is a medicinal spa which was very popular in the past but that now has been forgotten by the public. In order to bring back the tourists, the 'prominent men' of the village organize a fake miracle: the apparition of San Dimas, the local patron saint, which will take place every Thursday night. At first it works, but trouble begins when a stranger appears, claiming that he knows what's going on and making peculiar demands in exchange for his silence.",1.45,https://www.criterionchannel.com/miracles-of-thursday,Miracles of Thursday 1957,Miracles of Thursday 1957,tt0050574,7.3,600,Miracles of Thursday,"Los jueves, milagro",1957,Miracles of Thursday 1957,False
The Mirror,Jafar Panahi,Iran,1997,1990s,1:34,"Iranian master Jafar Panahi explores the interplay of imagination and reality in this slyly inventive meta-film marvel. When her mother is late to pick her up from school, first grader Mina (Mina Mohammad Khani) takes matters into her own hands, navigating the public transportation and bustling traffic of Tehran on a precarious adventure of the everyday. But what begins as a charming child’s-eye portrait of Iranian society soon reveals itself to be something even richer and more surprising, as Panahi turns the conventions of narrative filmmaking inside out.",1.57,https://www.criterionchannel.com/the-mirror-1,The Mirror 1997,The Mirror 1997,tt0117056,7.5,2459,The Mirror,Ayneh,1997,The Mirror 1997,False
